,page_url,image_url,tvshow_title,year,rating,director,actors,seasons,series,genres,country,description
0,https://www.imdb.com/title/tt0284763/,"https://m.media-amazon.com/images/M/MV5BMTMyODU1Njk2OF5BMl5BanBnXkFtZTYwNDA0NTgy._V1_QL75_UX140_CR0,10,140,140_.jpg",Spotlight Series,2004,,,"Mike Russo, Brian Michael Finn, Dennis Keeley, Brian Shannon, Nikki Vitale",,5.0,Family,United States,
1,https://www.imdb.com/title/tt0285039/,https://m.media-amazon.com/images/M/MV5BMjAwNzU3Nzk2M15BMl5BanBnXkFtZTcwNTM5NTYzMQ@@._V1_.jpg,Dream Chasers,2003,7.5,,"Shane Stanley, David Johnston, Shane St. Clair, Lee Stanley, Ron Masak",,4.0,"Adventure, Documentary, Family",United States,"Filmmaker/Sailor Lee Stanley sails around the world encountering people that have ""cut the ties"" with society as we know it and started a new life or career in some of the most beautiful and secluded places."
2,https://www.imdb.com/title/tt0324742/,https://m.media-amazon.com/images/M/MV5BNTQ3ZTRhNTMtZjA2NS00ZTQ3LWE2MmYtZDM1OGVmZGRlNGZkXkEyXkFqcGc@._V1_.jpg,Creature Comforts,2003,7.9,Nick Park,"The Great British Public, David Patterson, James MacDonald",2.0,26.0,"Animation, Comedy, Family",United Kingdom,"Stop-motion animated satire of modern man on the street and documentary interviews, responding to unseen questioners. The voices of the characters are supplied by everyday people speaking varied regional accents."
3,https://www.imdb.com/title/tt0340281/,https://m.media-amazon.com/images/M/MV5BMTE3ODEzMDktZTQxMi00YmMwLTkxYjktZTFjNjEyOWI0YTUzXkEyXkFqcGc@._V1_.jpg,Phil of the Future,2004,6.9,"Tim Maile, Douglas Tuber","Raviv Ullman, Amy Bruckner, Craig Anton, Lise Simms, Aly Michalka",2.0,43.0,"Adventure, Comedy, Family",United States,"A family from 2121 is stuck in 2004, trying desperately to fit in."
4,https://www.imdb.com/title/tt0343314/,https://m.media-amazon.com/images/M/MV5BOTg3NzY2MDQtMjUxNS00N2Q3LTkxODktMmU1NzdjZTNkMzQ0XkEyXkFqcGc@._V1_.jpg,Teen Titans,2003,7.9,,"Hynden Walch, Greg Cipes, Scott Menville, Khary Payton, Tara Strong",,66.0,"Action, Adventure, Animation",United States,A team of five teenaged superheroes save the world from many villains around their city while experiencing things normal teens face.
5,https://www.imdb.com/title/tt0348506/,"https://m.media-amazon.com/images/M/MV5BMjU5NjQyNTcwOV5BMl5BanBnXkFtZTcwMzc3NzUyMw@@._V1_QL75_UX500_CR0,26,500,281_.jpg",The Adventures of the AfterMath Crew,2003,,,"Rebecca Parent, Ron Wagner, Danielle Bernard, Pavan Kumar, Evan MacQuarrie",,1.0,"Comedy, Family",Canada,Five kids run a pirate television show from a secret studio in the basement of their school. A nasty puppet with poor hygiene and a fiendish TV exec try to thwart their attempts to broadcast. The kids almost always succeed.
6,https://www.imdb.com/title/tt0348979/,https://m.media-amazon.com/images/M/MV5BMjVmY2RiZGYtZTcyYi00M2Y3LWEzZjEtMzIzN2RmYTkxYTZiXkEyXkFqcGc@._V1_.jpg,Zixx Level One,2004,7.2,Jeffrey Hirschfield,"Jeffrey Hirschfield, Barbara Mamabolo, Jamie Johnston, Alex Hood, Charlotte Arnold",2.0,26.0,"Animation, Family, Sci-Fi",Canada,Two brothers discover an alien girl called Zixx Punkee Zee and help her get past level one of a game. When Zixx finishes all three levels she will have achieved her mission and be able to go back to her home world.
7,https://www.imdb.com/title/tt0361201/,https://m.media-amazon.com/images/M/MV5BYjMyYzk3MDctN2E4ZC00MWVjLTgwYjctNDA5ZTA5ZjMzNjUwXkEyXkFqcGc@._V1_.jpg,Megas XLR,2004,8.2,"George Krstic, Jody Schaeffer","David DeLuise, Wendee Lee, Steve Blum, Scot Rienecker, Kevin Michael Richardson",2.0,26.0,"Action, Adventure, Animation",United States,Two teenage slackers find a mecha from the future that had been lying in a New Jersey junkyard for nearly 60 years and make modifications much to the dismay of the robot's attractive creator.
8,https://www.imdb.com/title/tt0361243/,https://m.media-amazon.com/images/M/MV5BOTJiYzkwZDEtMDJkYy00ZmJiLTg3M2QtYjU3MmU4MzBiZDc2XkEyXkFqcGc@._V1_.jpg,Star Wars: Clone Wars,2003,7.9,George Lucas,"Mat Lucas, James Arnold Taylor, André Sogliuzzo, Grey DeLisle, Tom Kane",,27.0,"Action, Adventure, Animation",United States,The events and battles of the Galactic Republic's last major war are recounted.
9,https://www.imdb.com/title/tt0362336/,https://m.media-amazon.com/images/M/MV5BZDEwNTM0MWItOWQxMi00Y2E0LTlmYTctNTkyOTM1Y2I4MGU5XkEyXkFqcGc@._V1_.jpg,Antje,2003,6.0,,,1.0,26.0,"Animation, Family",Germany,"Adventures of seal Antje and her friends - a tiger, a bear and a fish."
