page_url,image_url,tvshow_title,year,rating,director,actors,seasons,series,genres,countries,description
https://www.imdb.com/title/tt0245612/,https://m.media-amazon.com/images/M/MV5BOWMxNzFjNDItNDMzNC00YTY5LWE1M2UtNDUzMTY4OGNjYzdiXkEyXkFqcGc@._V1_.jpg,Kureyon Shin-chan,2006,8.0,,"Laura Bailey, Cynthia Cranz, Colleen Clinkenbeard, Chuck Huber, Chris Cason, Brina Palencia",Unknown,88,"Adult Animation, Animation, Anime, Comedy, Hand-Drawn Animation, Satire","United States, Japan",English language adult parody based on the Japanese series Shinchan (1992). This entry is for the Funimation English dub which originally aired on CN's Adult Swim between 2006 and 2011.
https://www.imdb.com/title/tt0320882/,https://m.media-amazon.com/images/M/MV5BMWYzNzk4MDYtZjRiZS00ZjMyLWI5MjQtMzU3ZGQ3NGUyMDQ4XkEyXkFqcGc@._V1_.jpg,Matroesjka's,2005,8.1,"Guy Goossens, Marc Punt","Axel Daeseleire, Manou Kersting, Luk Wyns, Indre Jaraite, Peter Van den Begin, Veerle Dejonghe",2,20,"Crime, Drama, Dutch",Belgium,"Women are lured from Lithuania by Belgian criminals promising dance careers, but are trafficked into sexual slavery. From Cyprus to Belgium, they face abuse while corrupt police fail to stop the gangs."
https://www.imdb.com/title/tt0373732/,https://m.media-amazon.com/images/M/MV5BYjFjZTAxZTItYjhjZS00MzNkLTk0NDYtYWMxYTQxNTE3YTQxXkEyXkFqcGc@._V1_.jpg,The Boondocks,2005,8.5,Aaron McGruder,"Regina King, John Witherspoon, Gary Anthony Williams, Cedric Yarbrough, Jill Talley, Gabby Soleil",4,56,"Action, Adult Animation, Animation, Anime, Comedy, Dark Comedy, Drama, Hand-Drawn Animation, Satire, Sitcom","United States, South Korea",Brothers Huey and Riley Freeman experience a culture clash when they leave Chicago to move in with their grandfather in the suburbs.
https://www.imdb.com/title/tt0384766/,https://m.media-amazon.com/images/M/MV5BMGQ0M2YxMGEtMDQ2MC00NGEwLTliMTQtODVkYWZkNDFkM2Y3XkEyXkFqcGc@._V1_.jpg,Rome,2005,8.7,"Bruno Heller, William J. MacDonald, John Milius","Kevin McKidd, Ray Stevenson, Polly Walker, Kerry Condon, James Purefoy, Ian McNeice",2,22,"Action, Drama, Period Drama, Romance, Sword & Sandal, War","United Kingdom, United States",The lives of both illustrious and ordinary Romans in the last days of the Roman Republic.
https://www.imdb.com/title/tt0386676/,https://m.media-amazon.com/images/M/MV5BZjQwYzBlYzUtZjhhOS00ZDQ0LWE0NzAtYTk4MjgzZTNkZWEzXkEyXkFqcGc@._V1_.jpg,The Office,2005,9.0,Greg Daniels,"Steve Carell, Jenna Fischer, John Krasinski, Rainn Wilson, Leslie David Baker, Brian Baumgartner",9,191,"Comedy, Mockumentary, Sitcom",United States,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, tedium and romance."
https://www.imdb.com/title/tt0397306/,https://m.media-amazon.com/images/M/MV5BZDI4ZWYwMGUtZGE1Yi00OTc5LWI3NDctMGY4ZWE4NzI4NWUwXkEyXkFqcGc@._V1_.jpg,American Dad!,2005,7.4,"Mike Barker, Seth MacFarlane, Matt Weitzman","Seth MacFarlane, Wendy Schaal, Scott Grimes, Rachael MacFarlane, Dee Bradley Baker, Jeff Fischer",23,448,"Adult Animation, Animation, Comedy, Dark Comedy, Satire, Sitcom",United States,"The escapades of Stan Smith, a conservative C.I.A. Agent dealing with family life, while keeping America safe."
https://www.imdb.com/title/tt0397442/,https://m.media-amazon.com/images/M/MV5BZDljNzZmMGMtM2FmNC00ZTkzLTg2OTctNDAxZGViYjVlYjAxXkEyXkFqcGc@._V1_.jpg,Gossip Girl,2007,7.5,"Stephanie Savage, Josh Schwartz","Blake Lively, Leighton Meester, Penn Badgley, Chace Crawford, Ed Westwick, Kelly Rutherford",6,121,"Drama, Romance, Teen Drama, Teen Romance",United States,"Narrated by a mysterious vicious blogger, this show follows a set of wealthy teenagers through their day-to-day scandalous lives as Manhattans Elite, and how they betray each other for each other's gain."
https://www.imdb.com/title/tt0402471/,https://m.media-amazon.com/images/M/MV5BMmJkZDNhMGQtZTViOS00ZWUxLWEzYTEtMzkzYzEwMDVhZjU0XkEyXkFqcGc@._V1_.jpg,Living with Fran,2005,5.8,,"Fran Drescher, Ryan McPartlin, Misti Traya, Ben Feldman, Charles Shaughnessy, Caitlin Crosby",2,26,"Comedy, Romance",United States,A mother of two ends up falling in love with a man half her age and tries to make him part of the family.
https://www.imdb.com/title/tt0406429/,https://m.media-amazon.com/images/M/MV5BMWZkNzVkNTktMGJhZi00NzY4LTlkMGMtZjllYjY0NGVlYTAxXkEyXkFqcGc@._V1_.jpg,Law & Order: Trial by Jury,2005,6.5,Dick Wolf,"Bebe Neuwirth, Amy Carlson, Kirk Acevedo, Fred Thompson, Steven Zirnkilton, Scott Cohen",1,14,"Crime, Drama, Mystery",United States,"The series showed the workings of the judicial system, beginning with the arraignment, and continuing through the lawyers process of building a case, investigating leads, and preparing witnesses and defendants for trial."
https://www.imdb.com/title/tt0408377/,https://m.media-amazon.com/images/M/MV5BMTdhNTEzMGItZTZmYi00MmNhLTliYTUtZGZjODUyNzc3YWM3XkEyXkFqcGc@._V1_.jpg,Captain Scarlet,2005,7.5,Gerry Anderson,"Wayne Forester, Robbie Stevens, Mike Haley, Jules de Jongh, Nigel Plaskitt, Emma Tate",1,26,"Action, Alien Invasion, Animation, Computer Animation, Sci-Fi",United Kingdom,"In 2068, after mankind mistakenly starts a war with the Mysterons from Mars, it's up to Spectrum and their lead agent Captain Scarlet, whom fate has made indestructible, to save mankind."
https://www.imdb.com/title/tt0412175/,https://m.media-amazon.com/images/M/MV5BMTIyMTE3MTA2N15BMl5BanBnXkFtZTcwMjU3NTg1MQ@@._V1_.jpg,Medium,2005,7.2,Glenn Gordon Caron,"Patricia Arquette, Miguel Sandoval, Jake Weber, Sofia Vassilieva, Feodor Lark, David Cubitt",7,130,"Crime, Drama, Fantasy, Mystery, Supernatural Fantasy, Suspense Mystery, Thriller",United States,Suburban mom Allison DuBois attempts to balance family life with solving mysteries using her special gift. The dead send her visions of their deaths or other crimes while she sleeps.
https://www.imdb.com/title/tt0413573/,https://m.media-amazon.com/images/M/MV5BYTVjNWVhYTctMGJkMS00NWFjLWE2N2QtNmQ1Y2FhZDFkNzUwXkEyXkFqcGc@._V1_.jpg,Grey's Anatomy,2005,7.6,Shonda Rhimes,"Ellen Pompeo, Chandra Wilson, James Pickens Jr., Kevin McKidd, Justin Chambers, Camilla Luddington",22,466,"Drama, Feel-Good Romance, Medical Drama, Psychological Drama, Romance, Soap Opera",United States,A drama centered on the personal and professional lives of five surgical interns and their supervisors.
https://www.imdb.com/title/tt0414762/,https://m.media-amazon.com/images/M/MV5BZGViNzZiMDEtZDk4Ny00MzNhLWI5ZTItZDY4MjAwMDk5OWQxXkEyXkFqcGc@._V1_.jpg,Power Rangers S.P.D.,2005,6.9,,"Natalia Rosminati, Brandon Jay McLaren, Chris Violette, Matt Sadowski, Monica May, Aly Purrott-Armstrong",1,38,"Action, Adventure, Alien Invasion, Fantasy, Sci-Fi, Superhero, Urban Adventure","United States, New Zealand","When the Earth is threatened by the evil Troobian empire, the SPD (Space Patrol Delta) police force recruits a team of Power Rangers to help defend the planet."
https://www.imdb.com/title/tt0415313/,https://m.media-amazon.com/images/M/MV5BYzJmZWY1M2QtNzk2NS00M2Y3LTkxYTgtMmNkZDNlOTExY2ZmXkEyXkFqcGc@._V1_.jpg,Bela ladja,2006,6.4,,"Ljiljana Dragutinović, Mina Lazarevic, Nenad Jezdic, Predrag Smiljkovic, Milan 'Lane' Gutovic, Petar Kralj",6,90,Comedy,Serbia,"The show parodies Serbian politics. The main character is a stupid, selfish, bad person who tries to climb all the way to the top of the Serbian government; the show also offers a look at the person who work for and with him."
https://www.imdb.com/title/tt0415463/,https://m.media-amazon.com/images/M/MV5BNTM4NzQ5ZWEtMGQxNC00OGU0LTliZjItYjZlZGE0ZDQ2ZWI2XkEyXkFqcGc@._V1_.jpg,Zoey 101,2005,6.2,Dan Schneider,"Jamie Lynn Spears, Paul Butcher, Christopher Massey, Erin Sanders, Matthew Underwood, Sean Flynn",4,61,"Comedy, Drama, Family, Romance, Teen Comedy, Teen Drama",United States,"Zoey Brooks and her brother Dustin attend their first day at Pacific Coast Academy, a private boarding school that is enrolling girls for the first time in its history."
https://www.imdb.com/title/tt0417299/,https://m.media-amazon.com/images/M/MV5BMDMwMThjYWYtY2Q2OS00OGM2LTlkODQtNDJlZTZmMjAyYmFhXkEyXkFqcGc@._V1_.jpg,Avatar: The Last Airbender,2005,9.3,"Michael Dante DiMartino, Bryan Konietzko","Dee Bradley Baker, Zach Tyler Eisen, Mae Whitman, Jack De Sena, Dante Basco, Michaela Jill Murphy",Unknown,62,"Adventure Epic, Epic, Fantasy Epic, Globetrotting Adventure, Hand-Drawn Animation, Martial Arts, Quest, Supernatural Fantasy, Teen Adventure, Teen Fantasy","United States, South Korea","In a war-torn world of elemental powers, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
https://www.imdb.com/title/tt0417332/,https://m.media-amazon.com/images/M/MV5BMzQxNzdhMGUtODI3Zi00ZWM0LTkyZDgtMzZiOWM4MmUzY2MxXkEyXkFqcGc@._V1_.jpg,Ideal,2005,8.2,,"Johnny Vegas, Graham Duff, Nicola Reynolds, Tom Goodman-Hill, Ryan Pope, David Sant",7,53,"Comedy, Dark Comedy",United Kingdom,Moz is a drug dealer and has very strange clientele who come and go from his flat.
https://www.imdb.com/title/tt0419315/,https://m.media-amazon.com/images/M/MV5BMDNlZDA3MGItNTBhZC00ODZmLThmMDAtNjMzZmExZTI3NDYxXkEyXkFqcGc@._V1_.jpg,Camp Lazlo!,2005,6.4,"Joe Murray, Mark O'Hare","Carlos Alazraqui, Tom Kenny, Jeff Bennett, Steve Little, Mr. Lawrence, Jodi Benson",5,61,"Adventure, Animal Adventure, Animation, Comedy, Family, Farce",United States,"Bean Scout Lazlo, a fun-loving, free-spirited monkey, and his two bunkmates Raj and Clam, wreak havoc on a very structured summer camp."
